"countrycode","year","timeperiod","logprivatecredit","inflation","logtrade","logschooling","growthingini","growthgdppercapita","loginitialgini","span","loginitialgdppercapita","growthlowestincomeshare","loginitiallowestincomeshare"
"ARG",1961,1,1.79769313486232e+308,18.7851600646973,2.47143793106079,1.6956160068512,-0.0121819004416466,0.0236553996801376,3.73766994476318,8,8.93410968780518,-0.0151701001450419,1.94590997695923
"ARG",1969,2,1.79769313486232e+308,34.3242111206055,2.5429060459137,1.8255170583725,-0.00748750008642674,0.0202437993139029,3.64021396636963,5,9.12335300445557,-0.00655800011008978,1.82455003261566
"ARG",1974,3,1.79769313486232e+308,175.095397949219,2.61576390266418,1.84070801734924,0.0244545992463827,0.00776159996166825,3.60277700424194,6,9.22457218170166,-0.0303869005292654,1.79175996780396
"ARG",1980,4,-2.08137202262878,566.73779296875,2.72201800346374,1.9508980512619,0.0125920996069908,-0.0360845997929573,3.74950408935547,9,9.27114200592041,-0.0220500994473696,1.60943996906281
"ARG",1989,5,-1.95877003669739,880.113220214844,2.78765892982483,2.09580707550049,-0.00683829979971051,0.0651032999157906,3.86283302307129,5,8.94638061523438,-0.00897900015115738,1.41098999977112
"ARG",1994,6,-1.52374696731567,0.23722979426384,3.06454300880432,2.13534903526306,0.0183364003896713,-0.00299450010061264,3.82864093780518,7,9.271897315979,-0.033527098596096,1.3660900592804
"AUS",1967,1,-1.47111201286316,9.07311058044434,3.32232689857483,2.31629109382629,0.00780929997563362,0.0229774992913008,3.465735912323,9,9.482102394104,-0.0135931996628642,1.88706994056702
"AUS",1976,2,-1.35902297496796,9.92808532714844,3.44973993301392,2.33097791671753,0.0303719006478786,0.0161767993122339,3.53602004051208,5,9.68889999389648,-0.0477349013090134,1.76472997665405
"AUS",1981,3,-1.23430299758911,7.88514995574951,3.48149609565735,2.33418107032776,0.00317779998295009,0.0115446001291275,3.68787908554077,5,9.76978397369385,0.00851189997047186,1.52605998516083
"AUS",1986,4,-0.660783529281616,4.62140083312988,3.54670405387878,2.33978509902954,-0.0403954014182091,0.0176467001438141,3.70376801490784,7,9.82750701904297,0.0748443976044655,1.56861996650696
"AUS",1993,5,-0.36483770608902,1.19745397567749,3.68300890922546,2.3670608997345,0.0228291004896164,0.0318472012877464,3.4210000038147,5,9.95103359222412,-0.151505097746849,2.09253001213074
"AUT",1987,1,-0.160579800605774,2.86083292961121,4.24976110458374,2.04911088943481,0.0111747998744249,0.0249007996171713,3.365394115448,7,9.76543617248535,0.0122820995748043,1.9796199798584
"AUT",1994,2,-0.0796685963869095,1.0873429775238,4.3301568031311,2.08604502677917,-0.044149998575449,0.0211100000888109,3.44361805915832,5,9.93974208831787,0.0473977997899056,2.06559991836548
"BEL",1979,1,-1.32461297512054,5.28373718261719,4.88524723052978,2.10948610305786,-0.0124151995405555,0.0138301998376846,3.34109401702881,6,9.6545524597168,0.0141498995944858,2.06685996055603
"BEL",1985,2,-1.07882797718048,3.14857888221741,4.90915584564209,2.14908409118652,0.00373649992980063,0.0259786006063223,3.26660299301147,7,9.73753261566162,-0.00802870001643896,2.15176010131836
"BEL",1992,3,-0.322773486375809,2.22394204139709,4.89789819717407,2.20827388763428,-0.00087119999807328,0.0144710997119546,3.29275798797607,5,9.91938304901123,0.0194418001919985,2.09556007385254
