"country","year","logagedependency","countrycode","loginitialheadcount","loginitialpovertygap","growthinheadcount","growthinpovertygap","timespan","loginitialgini","growthinmeanincome","growthingdppercapita","logprivatecredit","logcommercialcentralbank","inflation","populationgrowth","logtrade","logschooling"
"Albania",1996,-0.494709312915802,"ALB",-0.478035807609558,-2.65926003456116,-0.158180102705956,-0.0932693034410477,6,3.37142491340637,0.0292971003800631,0.030612900853157,-3.0252161026001,-0.349546104669571,10.2356796264648,-0.254869908094406,3.94807696342468,1.79769313486232e+308
"Algeria",1988,-0.0969220027327538,"DZA",0.559615790843964,-0.446287095546722,-0.0587422996759415,-0.14011849462986,7,3.69237303733826,-0.00950049981474876,-0.0167047008872032,-1.23595094680786,-0.22819510102272,25.2907199859619,2.36634206771851,3.87185311317444,1.447625041008
"Bangladesh",1983,-0.164666905999184,"BGD",3.26423096656799,1.79009103775024,0.0188305992633104,0.0177513007074594,17,3.25346994400024,0.000752400024794042,0.0233207996934652,-1.45987594127655,-0.130195394158363,6.19144105911255,2.23035097122192,3.1487500667572,0.722220420837402
"Bolivia",1990,-0.213400095701218,"BOL",1.7369509935379,-0.274436891078949,0.120126597583294,0.237508103251457,12,3.73862099647522,0.00496490020304918,0.00898570008575916,-1.0355269908905,-0.687401711940765,8.46353054046631,2.18669700622559,3.87625002861023,1.61402702331543
"Botswana",1985,0.00595630006864667,"BWA",3.5055570602417,2.52892398834228,-0.0103248003870249,0.00178149994462728,8,3.99286508560181,0.0539604015648365,0.0410115011036396,-2.1289598941803,1.79769313486232e+308,13.019359588623,2.81417608261108,4.66838693618774,1.28148901462555
"Brazil",1981,-0.325962990522385,"BRA",2.46810007095337,1.08856201171875,-0.0191856008023024,-0.0156961996108294,23,4.05300092697144,0.0148256998509169,0.00917869992554188,-1.10322701931,-0.460972011089325,475.489685058594,1.72333204746246,2.98843502998352,1.24674499034882
"Bulgaria",1992,-0.688875675201416,"BGR",-1.10866296291351,-1.20397305488586,0.0891662985086441,0.0500041991472244,11,3.42751502990723,-0.0522920005023479,0.00338879995979369,-1.22244799137115,-0.213955998420715,113.525398254395,-0.820067584514618,4.63548517227173,1.79769313486232e+308
"Burkina Faso",1994,0.0420215986669064,"BFA",3.93983292579651,2.971440076828,-0.0649643987417221,-0.104518100619316,9,3.92612290382385,0.0156194996088743,0.0164854004979134,-2.14288401603699,-0.133319705724716,5.80837202072144,2.8920590877533,3.5685670375824,1.79769313486232e+308
"Burundi",1992,-0.0318980999290943,"BDI",3.81198191642761,2.62684011459351,0.0312198996543884,0.0824405997991562,6,3.50645804405212,-0.0114435004070401,-0.0542465001344681,-2.20423698425293,-0.582337915897369,12.6224002838135,1.21281099319458,3.48884797096252,1.79769313486232e+308
"Cameroon",1996,-0.095378503203392,"CMR",3.47970104217529,2.20276498794556,-0.128007501363754,-0.158355593681335,5,3.84630990028381,0.0590461008250713,0.0212610997259617,-1.70844197273254,-0.178876593708992,2.41475009918213,2.17547488212585,3.94461798667908,1.2641270160675
"Chile",1987,-0.56422621011734,"CHL",1.82454895973206,0.00995029974728823,-0.142692998051643,-0.132672995328903,13,4.03300094604492,0.0405005998909473,0.0478188991546631,-0.763907015323639,-0.527153074741364,12.2192802429199,1.60800504684448,4.07382822036743,1.94089794158936
"Colombia",1980,-0.222505196928978,"COL",2.06051301956177,1.07158398628235,-0.00117890001274645,-0.00623319996520877,23,4.07973909378052,0.00236040004529059,0.0107562001794577,-1.44198894500732,-0.217063993215561,21.1819591522217,1.93163204193115,3.50834703445435,1.48319399356842
"Costa Rica",1981,-0.323280811309814,"CRI",2.69530296325684,1.77664601802826,-0.119759902358055,-0.142772793769836,20,3.86051893234253,0.0473561994731426,0.00721909990534186,-1.55131494998932,-0.295153796672821,22.7847805023193,2.55590200424194,4.36769676208496,1.68361699581146
"Cote d'Ivoire",1985,-0.057591900229454,"CIV",1.54968798160553,-0.527632772922516,0.0708967968821526,0.114607602357864,17,3.71868109703064,-0.0194579008966684,-0.0157744009047747,-1.3512270450592,-0.137665495276451,4.25065612792969,3.02286100387573,4.2268590927124,1.79769313486232e+308
"Croatia",1998,-0.739425122737884,"HRV",-2.65926003456116,-2.65926003456116,0.0445104017853737,-0.112157396972179,3,3.2891480922699,-0.0563663989305496,0.0228080991655588,-0.97807639837265,-0.00364589993841946,5.22605609893799,-0.721470713615418,4.5576000213623,1.79769313486232e+308
"Dominican Republic",1986,-0.279939413070679,"DOM",2.15292406082153,1.06125700473785,-0.0891968980431557,-0.112072199583054,17,3.86660695075989,0.0316702015697956,0.0324716009199619,-1.52511405944824,-0.267737805843353,17.1124897003174,1.63032102584839,4.37019681930542,1.48997795581818
